ayah_key,surah_number,ayah_number,script_type,display_text,source_name,source_reference,source_checksum,audit_status,source_match_status,review_status
2:3,2,3,INDOPAK,"الَّذِيْنَ يُو͏ٔ͏ْمِنُوْنَ بِالْغَيْبِ وَيُقِيْمُوْنَ الصَّلٰوةَ وَمِمَّا رَزَقْنٰهُمْ يُنْفِقُوْنَ ۝٣ۙ","Tanzil Simple Clean XML",sourcedata/2/quran-simple-clean.xml,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"structurally present",unavailable,"needs human review"
2:4,2,4,UTHMANI,"وَٱلَّذِينَ يُؤْمِنُونَ بِمَآ أُنزِلَ إِلَيْكَ وَمَآ أُنزِلَ مِن قَبْلِكَ وَبِٱلْـَٔاخِرَةِ هُمْ يُوقِنُونَ","Tanzil Uthmani XML",sourcedata/1/quran-uthmani.xml,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"structurally present",unavailable,"needs human review"
2:4,2,4,INDOPAK,"وَالَّذِيْنَ يُو͏ٔ͏ْمِنُوْنَ بِمَا͏ٓ اُنْزِلَ اِلَيْكَ وَمَا͏ٓ اُنْزِلَ مِنْ قَبْلِكَۚ وَبِالْاٰخِرَةِ هُمْ يُوْقِنُوْنَ ۝٤ؕ","Tanzil Simple Clean XML",sourcedata/2/quran-simple-clean.xml,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"structurally present",unavailable,"needs human review"
2:5,2,5,UTHMANI,"أُو۟لَـٰٓئِكَ عَلَىٰ هُدًى مِّن رَّبِّهِمْ ۖ وَأُو۟لَـٰٓئِكَ هُمُ ٱلْمُفْلِحُونَ","Tanzil Uthmani XML",sourcedata/1/quran-uthmani.xml,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"structurally present",unavailable,"needs human review"
2:5,2,5,INDOPAK,"اُولٰ࢜ىِٕكَ عَلٰي هُدًي مِّنْ رَّبِّهِمْࣗ وَاُولٰ࢜ىِٕكَ هُمُ الْمُفْلِحُوْنَ ۝٥","Tanzil Simple Clean XML",sourcedata/2/quran-simple-clean.xml,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"structurally present",unavailable,"needs human review"
2:255,2,255,UTHMANI,"ٱللَّهُ لَآ إِلَـٰهَ إِلَّا هُوَ ٱلْحَىُّ ٱلْقَيُّومُ ۚ لَا تَأْخُذُهُۥ سِنَةٌ وَلَا نَوْمٌ ۚ لَّهُۥ مَا فِى ٱلسَّمَـٰوَٰتِ وَمَا فِى ٱلْأَرْضِ ۗ مَن ذَا ٱلَّذِى يَشْفَعُ عِندَهُۥٓ إِلَّا بِإِذْنِهِۦ ۚ يَعْلَمُ مَا بَيْنَ أَيْدِيهِمْ وَمَا خَلْفَهُمْ ۖ وَلَا يُحِيطُونَ بِشَىْءٍ مِّنْ عِلْمِهِۦٓ إِلَّا بِمَا شَآءَ ۚ وَسِعَ كُرْسِيُّهُ ٱلسَّمَـٰوَٰتِ وَٱلْأَرْضَ ۖ وَلَا يَـُٔودُهُۥ حِفْظُهُمَا ۚ وَهُوَ ٱلْعَلِىُّ ٱلْعَظِيمُ","Tanzil Uthmani XML",sourcedata/1/quran-uthmani.xml,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"structurally present",unavailable,"needs human review"
2:255,2,255,INDOPAK,"اَللّٰهُ لَا͏ٓ اِلٰهَ اِلَّا هُوَۚ اَلْحَيُّ الْقَيُّوْمُ࣢ۚ لَا تَاْخُذُهٗ سِنَةٌ وَّلَا نَوْمٌؕ لَهٗ مَا فِي السَّمٰوٰتِ وَمَا فِي الْاَرْضِؕ مَنْ ذَا الَّذِيْ يَشْفَعُ عِنْدَهٗٓ اِلَّا بِاِذْنِهٖؕ يَعْلَمُ مَا بَيْنَ اَيْدِيْهِمْ وَمَا خَلْفَهُمْۚ وَلَا يُحِيْطُوْنَ بِشَيْءٍ مِّنْ عِلْمِهٖٓ اِلَّا بِمَا شَا࢜ءَۚ وَسِعَ كُرْسِيُّهُ السَّمٰوٰتِ وَالْاَرْضَۚ وَلَا يَـُٔوْدُهٗ حِفْظُهُمَاۚ وَهُوَ الْعَلِيُّ الْعَظِيْمُ ۝٢٥٥","Tanzil Simple Clean XML",sourcedata/2/quran-simple-clean.xml,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"structurally present",unavailable,"needs human review"
3:18,3,18,UTHMANI,"شَهِدَ ٱللَّهُ أَنَّهُۥ لَآ إِلَـٰهَ إِلَّا هُوَ وَٱلْمَلَـٰٓئِكَةُ وَأُو۟لُوا۟ ٱلْعِلْمِ قَآئِمًۢا بِٱلْقِسْطِ ۚ لَآ إِلَـٰهَ إِلَّا هُوَ ٱلْعَزِيزُ ٱلْحَكِيمُ","Tanzil Uthmani XML",sourcedata/1/quran-uthmani.xml,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"structurally present",unavailable,"needs human review"
3:18,3,18,INDOPAK,"شَهِدَ اللّٰهُ اَنَّهٗ لَا͏ٓ اِلٰهَ اِلَّا هُوَۙ وَالْمَلٰ࢜ىِٕكَةُ وَاُولُوا الْعِلْمِ قَا࢜ىِٕمًاۢ بِالْقِسْطِؕ لَا͏ٓ اِلٰهَ اِلَّا هُوَ الْعَزِيْزُ الْحَكِيْمُ ۝١٨ؕ","Tanzil Simple Clean XML",sourcedata/2/quran-simple-clean.xml,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"structurally present",unavailable,"needs human review"
36:1,36,1,UTHMANI,"يسٓ","Tanzil Uthmani XML",sourcedata/1/quran-uthmani.xml,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"structurally present",unavailable,"needs human review"
