ayahKey,surahNumber,ayahNumber,surahNameSimple,scriptType,displayText,sourceName,sourceReference,sourceChecksum,reviewerDecision,reviewerNotes
6:73,6,73,"Al-An'am",INDOPAK,"وَهُوَ الَّذِيْ خَلَقَ السَّمٰوٰتِ وَالْاَرْضَ بِالْحَقِّؕ وَيَوْمَ يَقُوْلُ كُنْ فَيَكُوْنُ࣢ؕ قَوْلُهُ الْحَقُّؕ وَلَهُ الْمُلْكُ يَوْمَ يُنْفَخُ فِي الصُّوْرِؕ عٰلِمُ الْغَيْبِ وَالشَّهَادَةِؕ وَهُوَ الْحَكِيْمُ الْخَبِيْرُ ۝٧٣","Tanzil Simple Clean XML",https://tanzil.net/download/,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"",""
6:73,6,73,"Al-An'am",UTHMANI,"وَهُوَ ٱلَّذِى خَلَقَ ٱلسَّمَـٰوَٰتِ وَٱلْأَرْضَ بِٱلْحَقِّ ۖ وَيَوْمَ يَقُولُ كُن فَيَكُونُ ۚ قَوْلُهُ ٱلْحَقُّ ۚ وَلَهُ ٱلْمُلْكُ يَوْمَ يُنفَخُ فِى ٱلصُّورِ ۚ عَـٰلِمُ ٱلْغَيْبِ وَٱلشَّهَـٰدَةِ ۚ وَهُوَ ٱلْحَكِيمُ ٱلْخَبِيرُ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
6:80,6,80,"Al-An'am",INDOPAK,"وَحَا࢜جَّهٗ قَوْمُهٗؕ قَالَ اَتُحَا࢜جُّوْ࢜نِّيْ فِي اللّٰهِ وَقَدْ هَدٰىنِؕ وَلَا͏ٓ اَخَافُ مَا تُشْرِكُوْنَ بِهٖٓ اِلَّا͏ٓ اَنْ يَّشَا࢜ءَ رَبِّيْ شَيْـًٔاؕ وَسِعَ رَبِّيْ كُلَّ شَيْءٍ عِلْمًاؕ اَفَلَا تَتَذَكَّرُوْنَ ۝٨٠","Tanzil Simple Clean XML",https://tanzil.net/download/,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"",""
6:80,6,80,"Al-An'am",UTHMANI,"وَحَآجَّهُۥ قَوْمُهُۥ ۚ قَالَ أَتُحَـٰٓجُّوٓنِّى فِى ٱللَّهِ وَقَدْ هَدَىٰنِ ۚ وَلَآ أَخَافُ مَا تُشْرِكُونَ بِهِۦٓ إِلَّآ أَن يَشَآءَ رَبِّى شَيْـًٔا ۗ وَسِعَ رَبِّى كُلَّ شَىْءٍ عِلْمًا ۗ أَفَلَا تَتَذَكَّرُونَ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
7:68,7,68,"Al-A'raf",INDOPAK,"اُبَلِّغُكُمْ رِسٰلٰتِ رَبِّيْ وَاَنَا لَكُمْ نَاصِحٌ اَمِيْنٌ ۝٦٨","Tanzil Simple Clean XML",https://tanzil.net/download/,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"",""
7:68,7,68,"Al-A'raf",UTHMANI,"أُبَلِّغُكُمْ رِسَـٰلَـٰتِ رَبِّى وَأَنَا۠ لَكُمْ نَاصِحٌ أَمِينٌ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
7:172,7,172,"Al-A'raf",INDOPAK,"وَاِذْ اَخَذَ رَبُّكَ مِنْۢ بَنِيْٓ اٰدَمَ مِنْ ظُهُوْرِهِمْ ذُرِّيَّتَهُمْ وَاَشْهَدَهُمْ عَلٰٓي اَنْفُسِهِمْۚ اَلَسْتُ بِرَبِّكُمْؕ قَالُوْا بَلٰيۚۛ شَهِدْنَاۚۛ اَنْ تَقُوْلُوْا يَوْمَ الْقِيٰمَةِ اِنَّا كُنَّا عَنْ هٰذَا غٰفِلِيْنَ ۝١٧٢ۙ","Tanzil Simple Clean XML",https://tanzil.net/download/,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"",""
7:172,7,172,"Al-A'raf",UTHMANI,"وَإِذْ أَخَذَ رَبُّكَ مِنۢ بَنِىٓ ءَادَمَ مِن ظُهُورِهِمْ ذُرِّيَّتَهُمْ وَأَشْهَدَهُمْ عَلَىٰٓ أَنفُسِهِمْ أَلَسْتُ بِرَبِّكُمْ ۖ قَالُوا۟ بَلَىٰ ۛ شَهِدْنَآ ۛ أَن تَقُولُوا۟ يَوْمَ ٱلْقِيَـٰمَةِ إِنَّا كُنَّا عَنْ هَـٰذَا غَـٰفِلِينَ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
7:198,7,198,"Al-A'raf",INDOPAK,"وَاِنْ تَدْعُوْهُمْ اِلَي الْهُدٰي لَا يَسْمَعُوْاؕ وَتَرٰىهُمْ يَنْظُرُوْنَ اِلَيْكَ وَهُمْ لَا يُبْصِرُوْنَ ۝١٩٨","Tanzil Simple Clean XML",https://tanzil.net/download/,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"",""
7:198,7,198,"Al-A'raf",UTHMANI,"وَإِن تَدْعُوهُمْ إِلَى ٱلْهُدَىٰ لَا يَسْمَعُوا۟ ۖ وَتَرَىٰهُمْ يَنظُرُونَ إِلَيْكَ وَهُمْ لَا يُبْصِرُونَ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
9:68,9,68,At-Tawbah,INDOPAK,"وَعَدَ اللّٰهُ الْمُنٰفِقِيْنَ وَالْمُنٰفِقٰتِ وَالْكُفَّارَ نَارَ جَهَنَّمَ خٰلِدِيْنَ فِيْهَاؕ هِيَ حَسْبُهُمْۚ وَلَعَنَهُمُ اللّٰهُۚ وَلَهُمْ عَذَابٌ مُّقِيْمٌ ۝٦٨ۙ","Tanzil Simple Clean XML",https://tanzil.net/download/,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"",""
9:68,9,68,At-Tawbah,UTHMANI,"وَعَدَ ٱللَّهُ ٱلْمُنَـٰفِقِينَ وَٱلْمُنَـٰفِقَـٰتِ وَٱلْكُفَّارَ نَارَ جَهَنَّمَ خَـٰلِدِينَ فِيهَا ۚ هِىَ حَسْبُهُمْ ۚ وَلَعَنَهُمُ ٱللَّهُ ۖ وَلَهُمْ عَذَابٌ مُّقِيمٌ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
14:30,14,30,Ibrahim,INDOPAK,"وَجَعَلُوْا لِلّٰهِ اَنْدَادًا لِّيُضِلُّوْا عَنْ سَبِيْلِهٖؕ قُلْ تَمَتَّعُوْا فَاِنَّ مَصِيْرَكُمْ اِلَي النَّارِ ۝٣٠","Tanzil Simple Clean XML",https://tanzil.net/download/,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"",""
14:30,14,30,Ibrahim,UTHMANI,"وَجَعَلُوا۟ لِلَّهِ أَندَادًا لِّيُضِلُّوا۟ عَن سَبِيلِهِۦ ۗ قُلْ تَمَتَّعُوا۟ فَإِنَّ مَصِيرَكُمْ إِلَى ٱلنَّارِ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
17:81,17,81,Al-Isra,INDOPAK,"وَقُلْ جَا࢜ءَ الْحَقُّ وَزَهَقَ الْبَاطِلُؕ اِنَّ الْبَاطِلَ كَانَ زَهُوْقًا ۝٨١","Tanzil Simple Clean XML",https://tanzil.net/download/,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"",""
17:81,17,81,Al-Isra,UTHMANI,"وَقُلْ جَآءَ ٱلْحَقُّ وَزَهَقَ ٱلْبَـٰطِلُ ۚ إِنَّ ٱلْبَـٰطِلَ كَانَ زَهُوقًا","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
20:11,20,11,Taha,INDOPAK,"فَلَمَّا͏ٓ اَتٰىهَا نُوْدِيَ يٰمُوْسٰي ۝١١ؕ","Tanzil Simple Clean XML",https://tanzil.net/download/,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"",""
20:11,20,11,Taha,UTHMANI,"فَلَمَّآ أَتَىٰهَا نُودِىَ يَـٰمُوسَىٰٓ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
